0,0
1,3
2,6
3,9
4,12
5,15
6,17
7,20
8,23
9,26
10,28
11,31
12,34
13,37
14,39
15,42
16,45
17,48
18,50
19,53
20,56
21,59
22,62
23,64
24,67
25,70
26,73
27,75
28,78
29,81
30,83
31,85
32,87
33,89
34,91
35,94
36,96
37,98
38,100
39,103
40,105
41,107
42,109
43,111
44,114
45,116
46,118
47,120
48,122
49,124
50,126
51,129
52,131
53,133
54,135
55,137
56,139
57,142
58,144
59,146
60,148
61,150
62,153
63,155
64,157
65,159
66,161
67,163
68,165
69,167
70,170
71,172
72,174
73,176
74,178
75,181
76,183
77,185
78,187
79,189
80,191
81,194
82,196
83,198
84,200
85,203
86,205
87,207
88,209
89,211
90,214
91,216
92,218
93,220
94,223
95,225
96,227
97,229
98,231
99,234
100,236
101,238
102,240
103,243
